Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9
20232_31062_47905_DIA,INVESTIGACIÓN APLICADA BÁSICA_DIA(20232),20232_31062_47905_DIA,20232_31062,INVESTIGACIÓN APLICADA BÁSICA_DIA(20232),20232/CIENCIAS CONTABLES Y ADMINISTRATIVAS - TUNJA/CONTADURIA PUBLICA JORNADA MIXTA/NIVEL 4,20232_31062_4,20232_31062,20232_17
20232_31062_62351_NOCHE,SISTEMAS IV_NOCHE(20232),20232_31062_62351_NOCHE,20232_31062,SISTEMAS IV_NOCHE(20232),20232/CIENCIAS CONTABLES Y ADMINISTRATIVAS - TUNJA/CONTADURIA PUBLICA JORNADA MIXTA/NIVEL 9,20232_31062_9,20232_31062,20232_17
20232_31062_47903_NOCHE,CONTABILIDAD FINANCIERA INTERMEDIA_NOCHE(20232),20232_31062_47903_NOCHE,20232_31062,CONTABILIDAD FINANCIERA INTERMEDIA_NOCHE(20232),20232/CIENCIAS CONTABLES Y ADMINISTRATIVAS - TUNJA/CONTADURIA PUBLICA JORNADA MIXTA/NIVEL 3,20232_31062_3,20232_31062,20232_17
20232_31062_47897_DIA,INTRODUCCION A LA ECONOMIA_DIA(20232),20232_31062_47897_DIA,20232_31062,INTRODUCCION A LA ECONOMIA_DIA(20232),20232/CIENCIAS CONTABLES Y ADMINISTRATIVAS - TUNJA/CONTADURIA PUBLICA JORNADA MIXTA/NIVEL 1,20232_31062_1,20232_31062,20232_17
20232_31062_47902_DYN,DERECHO COMERCIAL_DYN(20232),20232_31062_47902_DYN,20232_31062,DERECHO COMERCIAL_DYN(20232),20232/CIENCIAS CONTABLES Y ADMINISTRATIVAS - TUNJA/CONTADURIA PUBLICA JORNADA MIXTA/NIVEL 3,20232_31062_3,20232_31062,20232_17
20232_33052_23529_NEGA,E-COMMERCE_NEGA(20232),20232_33052_23529_NEGA,20232_33052,E-COMMERCE_NEGA(20232),20232/CIENCIAS CONTABLES Y ADMINISTRATIVAS - TUNJA/NEGOCIOS INTERNACIONALES JORNADA MIXTA/NIVEL 7,20232_33052_7,20232_33052,20232_17
20232_33052_10707_NEGA,ECONOMIA INTERNACIONAL_NEGA(20232),20232_33052_10707_NEGA,20232_33052,ECONOMIA INTERNACIONAL_NEGA(20232),20232/CIENCIAS CONTABLES Y ADMINISTRATIVAS - TUNJA/NEGOCIOS INTERNACIONALES JORNADA MIXTA/NIVEL 5,20232_33052_5,20232_33052,20232_17
20232_33052_13991_NEGB,CONTRATACIÓN Y RESOLUCIÓN DE CONTROVERSIAS INTERNACIONALES_NEGB(20232),20232_33052_13991_NEGB,20232_33052,CONTRATACIÓN Y RESOLUCIÓN DE CONTROVERSIAS INTERNACIONALES_NEGB(20232),20232/CIENCIAS CONTABLES Y ADMINISTRATIVAS - TUNJA/NEGOCIOS INTERNACIONALES JORNADA MIXTA/NIVEL 5,20232_33052_5,20232_33052,20232_17
20232_33052_29691_NEGA,ANALISIS FINANCIERO_NEGA(20232),20232_33052_29691_NEGA,20232_33052,ANALISIS FINANCIERO_NEGA(20232),20232/CIENCIAS CONTABLES Y ADMINISTRATIVAS - TUNJA/NEGOCIOS INTERNACIONALES JORNADA MIXTA/NIVEL 4,20232_33052_4,20232_33052,20232_17
20232_33052_13988_NEGC,ESTRATEGIAS DE MERCADEO_NEGC(20232),20232_33052_13988_NEGC,20232_33052,ESTRATEGIAS DE MERCADEO_NEGC(20232),20232/CIENCIAS CONTABLES Y ADMINISTRATIVAS - TUNJA/NEGOCIOS INTERNACIONALES JORNADA MIXTA/NIVEL 4,20232_33052_4,20232_33052,20232_17
20232_33052_23533_NEGB,AMBIENTE CULTURAL ECONÓMICO Y POLÍTICO: ASIA_NEGB(20232),20232_33052_23533_NEGB,20232_33052,AMBIENTE CULTURAL ECONÓMICO Y POLÍTICO: ASIA_NEGB(20232),20232/CIENCIAS CONTABLES Y ADMINISTRATIVAS - TUNJA/NEGOCIOS INTERNACIONALES JORNADA MIXTA/NIVEL 8,20232_33052_8,20232_33052,20232_17
20232_33052_13982_NEGA,GESTIÓN DE IMPORTACIONES Y EXPORTACIONES_NEGA(20232),20232_33052_13982_NEGA,20232_33052,GESTIÓN DE IMPORTACIONES Y EXPORTACIONES_NEGA(20232),20232/CIENCIAS CONTABLES Y ADMINISTRATIVAS - TUNJA/NEGOCIOS INTERNACIONALES JORNADA MIXTA/NIVEL 3,20232_33052_3,20232_33052,20232_17
20232_33052_13983_NEGA,MACROECONOMÍA_NEGA(20232),20232_33052_13983_NEGA,20232_33052,MACROECONOMÍA_NEGA(20232),20232/CIENCIAS CONTABLES Y ADMINISTRATIVAS - TUNJA/NEGOCIOS INTERNACIONALES JORNADA MIXTA/NIVEL 3,20232_33052_3,20232_33052,20232_17
20232_33052_13981_NEGB,FUNDAMENTO CONSTITUCIONALES Y ECONÓMICOS_NEGB(20232),20232_33052_13981_NEGB,20232_33052,FUNDAMENTO CONSTITUCIONALES Y ECONÓMICOS_NEGB(20232),20232/CIENCIAS CONTABLES Y ADMINISTRATIVAS - TUNJA/NEGOCIOS INTERNACIONALES JORNADA MIXTA/NIVEL 2,20232_33052_2,20232_33052,20232_17
20232_33052_29700_NEGA,FORMULACION Y EVALUACION FINANCIERA DE PROYECTOS_NEGA(20232),20232_33052_29700_NEGA,20232_33052,FORMULACION Y EVALUACION FINANCIERA DE PROYECTOS_NEGA(20232),20232/CIENCIAS CONTABLES Y ADMINISTRATIVAS - TUNJA/NEGOCIOS INTERNACIONALES JORNADA MIXTA/NIVEL 6,20232_33052_6,20232_33052,20232_17
20232_33052_13987_NEGC,INTEGRACIÓN Y RELACIONES ECONÓMICAS INTERNACIONALES_NEGC(20232),20232_33052_13987_NEGC,20232_33052,INTEGRACIÓN Y RELACIONES ECONÓMICAS INTERNACIONALES_NEGC(20232),20232/CIENCIAS CONTABLES Y ADMINISTRATIVAS - TUNJA/NEGOCIOS INTERNACIONALES JORNADA MIXTA/NIVEL 4,20232_33052_4,20232_33052,20232_17
20232_33052_13989_NEGB,SEMINARIO DE INVESTIGACION EN N.I._NEGB(20232),20232_33052_13989_NEGB,20232_33052,SEMINARIO DE INVESTIGACION EN N.I._NEGB(20232),20232/CIENCIAS CONTABLES Y ADMINISTRATIVAS - TUNJA/NEGOCIOS INTERNACIONALES JORNADA MIXTA/NIVEL 5,20232_33052_5,20232_33052,20232_17
20232_31007_47720_INTRO-GEST-A,INTRODUCCION  A LA GESTION DE LA INNOVACIÓN_INTRO-GEST-A(20232),20232_31007_47720_INTRO-GEST-A,20232_31007,INTRODUCCION  A LA GESTION DE LA INNOVACIÓN_INTRO-GEST-A(20232),20232/INGENIERIAS Y ARQUITECTURA - TUNJA/INGENIERÍA INDUSTRIAL JORNADA MIXTA/NIVEL 2,20232_31007_2,20232_31007,20232_18
20232_31007_47748_GEST-CCAL-A,GESTIÓN Y CONTROL DE CALIDAD_GEST-CCAL-A(20232),20232_31007_47748_GEST-CCAL-A,20232_31007,GESTIÓN Y CONTROL DE CALIDAD_GEST-CCAL-A(20232),20232/INGENIERIAS Y ARQUITECTURA - TUNJA/INGENIERÍA INDUSTRIAL JORNADA MIXTA/NIVEL 6,20232_31007_6,20232_31007,20232_18
20232_31007_47728_FINAN-B,FINANZAS_FINAN-B(20232),20232_31007_47728_FINAN-B,20232_31007,FINANZAS_FINAN-B(20232),20232/INGENIERIAS Y ARQUITECTURA - TUNJA/INGENIERÍA INDUSTRIAL JORNADA MIXTA/NIVEL 6,20232_31007_6,20232_31007,20232_18
20232_31007_47745_ING-PROC,INGENIERIA DE PROCESOS_ING-PROC(20232),20232_31007_47745_ING-PROC,20232_31007,INGENIERIA DE PROCESOS_ING-PROC(20232),20232/INGENIERIAS Y ARQUITECTURA - TUNJA/INGENIERÍA INDUSTRIAL JORNADA MIXTA/NIVEL 5,20232_31007_5,20232_31007,20232_18
20232_31007_30635_LOG-DRIST-A,LOGISTICA DE DISTRIBUCIÓN_LOG-DRIST-A(20232),20232_31007_30635_LOG-DRIST-A,20232_31007,LOGISTICA DE DISTRIBUCIÓN_LOG-DRIST-A(20232),20232/INGENIERIAS Y ARQUITECTURA - TUNJA/INGENIERÍA INDUSTRIAL JORNADA MIXTA/NIVEL 7,20232_31007_7,20232_31007,20232_18
20232_31007_47754_OPC-GRADO-I-A,OPCIÓN DE GRADO I_OPC-GRADO-I-A(20232),20232_31007_47754_OPC-GRADO-I-A,20232_31007,OPCIÓN DE GRADO I_OPC-GRADO-I-A(20232),20232/INGENIERIAS Y ARQUITECTURA - TUNJA/INGENIERÍA INDUSTRIAL JORNADA MIXTA/NIVEL 7,20232_31007_7,20232_31007,20232_18
20232_31007_47755_OPC-GRADO-II-A,OPCIÓN DE GRADO II_OPC-GRADO-II-A(20232),20232_31007_47755_OPC-GRADO-II-A,20232_31007,OPCIÓN DE GRADO II_OPC-GRADO-II-A(20232),20232/INGENIERIAS Y ARQUITECTURA - TUNJA/INGENIERÍA INDUSTRIAL JORNADA MIXTA/NIVEL 8,20232_31007_8,20232_31007,20232_18
20232_31007_47751_SGSST,GESTIÓN EN SEGURIDAD Y SALUD EN EL TRABAJO Y MEDIO AMBIENTE_SGSST(20232),20232_31007_47751_SGSST,20232_31007,GESTIÓN EN SEGURIDAD Y SALUD EN EL TRABAJO Y MEDIO AMBIENTE_SGSST(20232),20232/INGENIERIAS Y ARQUITECTURA - TUNJA/INGENIERÍA INDUSTRIAL JORNADA MIXTA/NIVEL 7,20232_31007_7,20232_31007,20232_18
20232_31007_99131_INTRO-ING-A,INTRODUCCION A LA INGENIERIA_INTRO-ING-A(20232),20232_31007_99131_INTRO-ING-A,20232_31007,INTRODUCCION A LA INGENIERIA_INTRO-ING-A(20232),20232/INGENIERIAS Y ARQUITECTURA - TUNJA/INGENIERÍA INDUSTRIAL JORNADA MIXTA/NIVEL 1,20232_31007_1,20232_31007,20232_18
