,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9
450,20232_33052_13990_NEGA,STRATEGIC DECISION MAKING_NEGA(),20232_33052_13990_NEGA,20232_33052,STRATEGIC DECISION MAKING_NEGA(20232),20232/CIENCIAS CONTABLES Y ADMINISTRATIVAS - TUNJA/NEGOCIOS INTERNACIONALES JORNADA MIXTA/NIVEL 5,20232_33052_5,20232_33052,20232_17
451,20232_33052_23504_NEGB,COMERCIO INTERNACIONAL_NEGB(),20232_33052_23504_NEGB,20232_33052,COMERCIO INTERNACIONAL_NEGB(20232),20232/CIENCIAS CONTABLES Y ADMINISTRATIVAS - TUNJA/NEGOCIOS INTERNACIONALES JORNADA MIXTA/NIVEL 2,20232_33052_2,20232_33052,20232_17
452,20232_33052_23501_NEGB,ADMINISTRACION Y PROCESOS_NEGB(),20232_33052_23501_NEGB,20232_33052,ADMINISTRACION Y PROCESOS_NEGB(20232),20232/CIENCIAS CONTABLES Y ADMINISTRATIVAS - TUNJA/NEGOCIOS INTERNACIONALES JORNADA MIXTA/NIVEL 2,20232_33052_2,20232_33052,20232_17
453,20232_31007_47724_METO-INVES-A,METODOLOGIA DE LA INVESTIGACIÓN_METO-INVES-A(),20232_31007_47724_METO-INVES-A,20232_31007,METODOLOGIA DE LA INVESTIGACIÓN_METO-INVES-A(20232),20232/INGENIERIAS Y ARQUITECTURA - TUNJA/INGENIERÍA INDUSTRIAL JORNADA MIXTA/NIVEL 4,20232_31007_4,20232_31007,20232_18
454,20232_31007_30631_FILO-LEAN-B,FILOSOFIA LEAN_FILO-LEAN-B(),20232_31007_30631_FILO-LEAN-B,20232_31007,FILOSOFIA LEAN_FILO-LEAN-B(20232),20232/INGENIERIAS Y ARQUITECTURA - TUNJA/INGENIERÍA INDUSTRIAL JORNADA MIXTA/NIVEL 6,20232_31007_6,20232_31007,20232_18
455,20232_31007_47744_ESTA-INDU,ESTADISTICA INDUSTRIAL_ESTA-INDU(),20232_31007_47744_ESTA-INDU,20232_31007,ESTADISTICA INDUSTRIAL_ESTA-INDU(20232),20232/INGENIERIAS Y ARQUITECTURA - TUNJA/INGENIERÍA INDUSTRIAL JORNADA MIXTA/NIVEL 5,20232_31007_5,20232_31007,20232_18
456,20232_31007_47753_GEST-PRO-ING,GESTION DE PROYECTOS EN INGENIERIA_GEST-PRO-ING(),20232_31007_47753_GEST-PRO-ING,20232_31007,GESTION DE PROYECTOS EN INGENIERIA_GEST-PRO-ING(20232),20232/INGENIERIAS Y ARQUITECTURA - TUNJA/INGENIERÍA INDUSTRIAL JORNADA MIXTA/NIVEL 7,20232_31007_7,20232_31007,20232_18
457,20232_31007_99131_INTRO-ING-B,INTRODUCCION A LA INGENIERIA_INTRO-ING-B(),20232_31007_99131_INTRO-ING-B,20232_31007,INTRODUCCION A LA INGENIERIA_INTRO-ING-B(20232),20232/INGENIERIAS Y ARQUITECTURA - TUNJA/INGENIERÍA INDUSTRIAL JORNADA MIXTA/NIVEL 1,20232_31007_1,20232_31007,20232_18
458,20232_31007_30639_PRO-AGRO-B,PRODUCCION AGROINDUSTRIAL_PRO-AGRO-B(),20232_31007_30639_PRO-AGRO-B,20232_31007,PRODUCCION AGROINDUSTRIAL_PRO-AGRO-B(20232),20232/INGENIERIAS Y ARQUITECTURA - TUNJA/INGENIERÍA INDUSTRIAL JORNADA MIXTA/NIVEL 8,20232_31007_8,20232_31007,20232_18
459,20232_31007_47721_ADM-IND-B,ADMINISTRACIÓN INDUSTRIAL_ADM-IND-B(),20232_31007_47721_ADM-IND-B,20232_31007,ADMINISTRACIÓN INDUSTRIAL_ADM-IND-B(20232),20232/INGENIERIAS Y ARQUITECTURA - TUNJA/INGENIERÍA INDUSTRIAL JORNADA MIXTA/NIVEL 2,20232_31007_2,20232_31007,20232_18
460,20232_31007_47748_GEST-CCAL-B,GESTIÓN Y CONTROL DE CALIDAD_GEST-CCAL-B(),20232_31007_47748_GEST-CCAL-B,20232_31007,GESTIÓN Y CONTROL DE CALIDAD_GEST-CCAL-B(20232),20232/INGENIERIAS Y ARQUITECTURA - TUNJA/INGENIERÍA INDUSTRIAL JORNADA MIXTA/NIVEL 6,20232_31007_6,20232_31007,20232_18
461,20232_31007_47749_INV-OPER-I-B,INVESTIGACIÓN DE OPERACIONES I_INV-OPER-I-B(),20232_31007_47749_INV-OPER-I-B,20232_31007,INVESTIGACIÓN DE OPERACIONES I_INV-OPER-I-B(20232),20232/INGENIERIAS Y ARQUITECTURA - TUNJA/INGENIERÍA INDUSTRIAL JORNADA MIXTA/NIVEL 6,20232_31007_6,20232_31007,20232_18
462,20232_31010_15686_MECFLU,MECÁNICA DE FLUIDOS_MECFLU(),20232_31010_15686_MECFLU,20232_31010,MECÁNICA DE FLUIDOS_MECFLU(20232),20232/INGENIERIAS Y ARQUITECTURA - TUNJA/INGENIERÍA AMBIENTAL JORNADA MIXTA/NIVEL 4,20232_31010_4,20232_31010,20232_18
463,20232_31010_15073_HIDRO,HIDROLOGIA_HIDRO(),20232_31010_15073_HIDRO,20232_31010,HIDROLOGIA_HIDRO(20232),20232/INGENIERIAS Y ARQUITECTURA - TUNJA/INGENIERÍA AMBIENTAL JORNADA MIXTA/NIVEL 6,20232_31010_6,20232_31010,20232_18
464,20232_31010_15659_POTAG,POTABILIZACIÓN DEL AGUA_POTAG(),20232_31010_15659_POTAG,20232_31010,POTABILIZACIÓN DEL AGUA_POTAG(20232),20232/INGENIERIAS Y ARQUITECTURA - TUNJA/INGENIERÍA AMBIENTAL JORNADA MIXTA/NIVEL 7,20232_31010_7,20232_31010,20232_18
465,20232_31008_99021_EXP-GRA,EXPRESION GRAFICA_EXP-GRA(),20232_31008_99021_EXP-GRA,20232_31008,EXPRESION GRAFICA_EXP-GRA(20232),20232/INGENIERIAS Y ARQUITECTURA - TUNJA/INGENIERÍA MECÁNICA JORNADA MIXTA/NIVEL 1,20232_31008_1,20232_31008,20232_18
466,20232_31008_30351_ING-MATE,INGENIERIA DE LOS MATERIALES_ING-MATE(),20232_31008_30351_ING-MATE,20232_31008,INGENIERIA DE LOS MATERIALES_ING-MATE(20232),20232/INGENIERIAS Y ARQUITECTURA - TUNJA/INGENIERÍA MECÁNICA JORNADA MIXTA/NIVEL 3,20232_31008_3,20232_31008,20232_18
467,20232_31008_30365_ELEC-INDU,ELECTRÓNICA INDUSTRIAL_ELEC-INDU(),20232_31008_30365_ELEC-INDU,20232_31008,ELECTRÓNICA INDUSTRIAL_ELEC-INDU(20232),20232/INGENIERIAS Y ARQUITECTURA - TUNJA/INGENIERÍA MECÁNICA JORNADA MIXTA/NIVEL 7,20232_31008_7,20232_31008,20232_18
468,20232_31008_30368_SIS-TRAN-ENE,SISTEMAS DE TRANSFORMACIÓN DE ENERGÍA_SIS-TRAN-ENE(),20232_31008_30368_SIS-TRAN-ENE,20232_31008,SISTEMAS DE TRANSFORMACIÓN DE ENERGÍA_SIS-TRAN-ENE(20232),20232/INGENIERIAS Y ARQUITECTURA - TUNJA/INGENIERÍA MECÁNICA JORNADA MIXTA/NIVEL 7,20232_31008_7,20232_31008,20232_18
469,20232_31008_30376_TERMO-A,TERMODINAMICA_TERMO-A(),20232_31008_30376_TERMO-A,20232_31008,TERMODINAMICA_TERMO-A(20232),20232/INGENIERIAS Y ARQUITECTURA - TUNJA/INGENIERÍA MECÁNICA JORNADA MIXTA/NIVEL 4,20232_31008_4,20232_31008,20232_18
470,20232_31008_30374_TRAB-GRADO-A,TRABAJO DE GRADO_TRAB-GRADO-A(),20232_31008_30374_TRAB-GRADO-A,20232_31008,TRABAJO DE GRADO_TRAB-GRADO-A(20232),20232/INGENIERIAS Y ARQUITECTURA - TUNJA/INGENIERÍA MECÁNICA JORNADA MIXTA/NIVEL 10,20232_31008_10,20232_31008,20232_18
471,20232_31008_30361_GEST-MANT,GESTIÓN DEL MANTENIMIENTO _GEST-MANT(),20232_31008_30361_GEST-MANT,20232_31008,GESTIÓN DEL MANTENIMIENTO _GEST-MANT(20232),20232/INGENIERIAS Y ARQUITECTURA - TUNJA/INGENIERÍA MECÁNICA JORNADA MIXTA/NIVEL 6,20232_31008_6,20232_31008,20232_18
472,20232_32090_32100_PREOCESOS-B,PROCESOS DE APRENDIZAJE_PREOCESOS-B(),20232_32090_32100_PREOCESOS-B,20232_32090,PROCESOS DE APRENDIZAJE_PREOCESOS-B(20232),20232/CIENCIAS SOCIALES Y DE LA EDUCACIÓN - TUNJA/LICENCIATURA EN ESPAÑOL Y LENGUAS EXTRANJERAS INGLÉS Y FRANCÉS JORNADA MIXTA/NIVEL 2,20232_32090_2,20232_32090,20232_35
473,20232_32090_32097_LITEUN-A,LITERATURA UNIVERSAL_LITEUN-A(),20232_32090_32097_LITEUN-A,20232_32090,LITERATURA UNIVERSAL_LITEUN-A(20232),20232/CIENCIAS SOCIALES Y DE LA EDUCACIÓN - TUNJA/LICENCIATURA EN ESPAÑOL Y LENGUAS EXTRANJERAS INGLÉS Y FRANCÉS JORNADA MIXTA/NIVEL 2,20232_32090_2,20232_32090,20232_35
474,20232_32090_32107_INGL 3-C,INGLÉS BÁSICO III_INGL 3-C(),20232_32090_32107_INGL 3-C,20232_32090,INGLÉS BÁSICO III_INGL 3-C(20232),20232/CIENCIAS SOCIALES Y DE LA EDUCACIÓN - TUNJA/LICENCIATURA EN ESPAÑOL Y LENGUAS EXTRANJERAS INGLÉS Y FRANCÉS JORNADA MIXTA/NIVEL 3,20232_32090_3,20232_32090,20232_35
475,20232_32090_32116_LING ELT&TIC-B,LINGÜÍSTICA APLICADA ELT & TIC_LING ELT&TIC-B(),20232_32090_32116_LING ELT&TIC-B,20232_32090,LINGÜÍSTICA APLICADA ELT & TIC_LING ELT&TIC-B(20232),20232/CIENCIAS SOCIALES Y DE LA EDUCACIÓN - TUNJA/LICENCIATURA EN ESPAÑOL Y LENGUAS EXTRANJERAS INGLÉS Y FRANCÉS JORNADA MIXTA/NIVEL 4,20232_32090_4,20232_32090,20232_35
476,20232_32090_32099_FRAN 2-C,FRANCÉS BÁSICO II_FRAN 2-C(),20232_32090_32099_FRAN 2-C,20232_32090,FRANCÉS BÁSICO II_FRAN 2-C(20232),20232/CIENCIAS SOCIALES Y DE LA EDUCACIÓN - TUNJA/LICENCIATURA EN ESPAÑOL Y LENGUAS EXTRANJERAS INGLÉS Y FRANCÉS JORNADA MIXTA/NIVEL 2,20232_32090_2,20232_32090,20232_35
477,20232_32090_32100_PROCESOS-A,PROCESOS DE APRENDIZAJE_PROCESOS-A(),20232_32090_32100_PROCESOS-A,20232_32090,PROCESOS DE APRENDIZAJE_PROCESOS-A(20232),20232/CIENCIAS SOCIALES Y DE LA EDUCACIÓN - TUNJA/LICENCIATURA EN ESPAÑOL Y LENGUAS EXTRANJERAS INGLÉS Y FRANCÉS JORNADA MIXTA/NIVEL 2,20232_32090_2,20232_32090,20232_35
478,20232_32090_32120_SEMIO,SEMIÓTICA_SEMIO(),20232_32090_32120_SEMIO,20232_32090,SEMIÓTICA_SEMIO(20232),20232/CIENCIAS SOCIALES Y DE LA EDUCACIÓN - TUNJA/LICENCIATURA EN ESPAÑOL Y LENGUAS EXTRANJERAS INGLÉS Y FRANCÉS JORNADA MIXTA/NIVEL 5,20232_32090_5,20232_32090,20232_35
479,20232_32090_32098_INGL 2-B,INGLÉS BÁSICO II_INGL 2-B(),20232_32090_32098_INGL 2-B,20232_32090,INGLÉS BÁSICO II_INGL 2-B(20232),20232/CIENCIAS SOCIALES Y DE LA EDUCACIÓN - TUNJA/LICENCIATURA EN ESPAÑOL Y LENGUAS EXTRANJERAS INGLÉS Y FRANCÉS JORNADA MIXTA/NIVEL 2,20232_32090_2,20232_32090,20232_35
480,20232_31005_96500_BASDAT-B,BASES DE DATOS_BASDAT-B(),20232_31005_96500_BASDAT-B,20232_31005,BASES DE DATOS_BASDAT-B(20232),20232/INGENIERIAS Y ARQUITECTURA - TUNJA/INGENIERIA DE SISTEMAS JORNADA MIXTA/NIVEL 2,20232_31005_2,20232_31005,20232_18
481,20232_31005_96181_POO-D,PROGRAMACION ORIENTADA A OBJETOS_POO-D(),20232_31005_96181_POO-D,20232_31005,PROGRAMACION ORIENTADA A OBJETOS_POO-D(20232),20232/INGENIERIAS Y ARQUITECTURA - TUNJA/INGENIERIA DE SISTEMAS JORNADA MIXTA/NIVEL 2,20232_31005_2,20232_31005,20232_18
482,20232_31005_37606_AUDSIS,AUDITORIA DE SISTEMAS_AUDSIS(),20232_31005_37606_AUDSIS,20232_31005,AUDITORIA DE SISTEMAS_AUDSIS(20232),20232/INGENIERIAS Y ARQUITECTURA - TUNJA/INGENIERIA DE SISTEMAS JORNADA MIXTA/NIVEL 9,20232_31005_9,20232_31005,20232_18
