,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9
0,cod_aula,nom_aula,nom_corto_aula,nom_plantilla,res_aula,nom_categoria,id_categoria,id_programa,id_division
1,20232_31009_30611_PRO IXD IV,PROGRAMACION IXD IV_PRO IXD IV(),20232_31009_30611_PRO IXD IV,20232_31009,PROGRAMACION IXD IV_PRO IXD IV(20232),20232/CIENCIAS SOCIALES Y DE LA EDUCACIÓN - TUNJA/DISEÑO DE INTERACCIÓN JORNADA DIURNA/NIVEL 5,20232_31009_5,20232_31009,20232_35
2,20232_32080_99243_ADMI ORGAN,ADMINISTRACIÓN DE ORGANISMOS DEPORTIVOS_ADMI ORGAN(),20232_32080_99243_ADMI ORGAN,20232_32080,ADMINISTRACIÓN DE ORGANISMOS DEPORTIVOS_ADMI ORGAN(20232),20232/CIENCIAS DE LA SALUD -TUNJA/CULTURA FÍSICA DEPORTE Y RECREACIÓN JORNADA DIURNA/NIVEL 6,20232_32080_6,20232_32080,20232_36
3,20232_30002_95085_ARQB5,INGLES V_ARQB5(),20232_30002_95085_ARQB5,20232_30002,INGLES V_ARQB5(20232),20232/DIVISION IDIOMAS-BASICAS-HUMANIDADES-DEPORTES/DEPARTAMENTO DE IDIOMAS - TUNJA JORNADA DIURNA/NIVEL 5,20232_30002_5,20232_30002,20232_12
4,20232_30002_95085_AMBIND5,INGLES V_AMBIND5(),20232_30002_95085_AMBIND5,20232_30002,INGLES V_AMBIND5(20232),20232/DIVISION IDIOMAS-BASICAS-HUMANIDADES-DEPORTES/DEPARTAMENTO DE IDIOMAS - TUNJA JORNADA DIURNA/NIVEL 5,20232_30002_5,20232_30002,20232_12
5,20232_30002_95145_DER7A,IDIOMA EXTRANJERO VII_DER7A(),20232_30002_95145_DER7A,20232_30002,IDIOMA EXTRANJERO VII_DER7A(20232),20232/DIVISION IDIOMAS-BASICAS-HUMANIDADES-DEPORTES/DEPARTAMENTO DE IDIOMAS - TUNJA JORNADA DIURNA/NIVEL 7,20232_30002_7,20232_30002,20232_12
6,20232_30002_95344_ADMCOND2,INGLES II_ADMCOND2(),20232_30002_95344_ADMCOND2,20232_30002,INGLES II_ADMCOND2(20232),20232/DIVISION IDIOMAS-BASICAS-HUMANIDADES-DEPORTES/DEPARTAMENTO DE IDIOMAS - TUNJA JORNADA DIURNA/NIVEL 2,20232_30002_2,20232_30002,20232_12
7,20232_30002_95127_CIVB2,IDIOMA EXTRANJERO II_CIVB2(),20232_30002_95127_CIVB2,20232_30002,IDIOMA EXTRANJERO II_CIVB2(20232),20232/DIVISION IDIOMAS-BASICAS-HUMANIDADES-DEPORTES/DEPARTAMENTO DE IDIOMAS - TUNJA JORNADA DIURNA/NIVEL 2,20232_30002_2,20232_30002,20232_12
8,20232_30002_20821_LEGA1,IDIOMA EXTRANJERO LEGAL I_LEGA1(),20232_30002_20821_LEGA1,20232_30002,IDIOMA EXTRANJERO LEGAL I_LEGA1(20232),20232/DIVISION IDIOMAS-BASICAS-HUMANIDADES-DEPORTES/DEPARTAMENTO DE IDIOMAS - TUNJA JORNADA DIURNA/NIVEL 9,20232_30002_9,20232_30002,20232_12
9,20232_30002_95081_ARQ1B,INGLES  I_ARQ1B(),20232_30002_95081_ARQ1B,20232_30002,INGLES  I_ARQ1B(20232),20232/DIVISION IDIOMAS-BASICAS-HUMANIDADES-DEPORTES/DEPARTAMENTO DE IDIOMAS - TUNJA JORNADA DIURNA/NIVEL 1,20232_30002_1,20232_30002,20232_12
10,20232_30002_95084_SISTB4,INGLES IV_SISTB4(),20232_30002_95084_SISTB4,20232_30002,INGLES IV_SISTB4(20232),20232/DIVISION IDIOMAS-BASICAS-HUMANIDADES-DEPORTES/DEPARTAMENTO DE IDIOMAS - TUNJA JORNADA DIURNA/NIVEL 4,20232_30002_4,20232_30002,20232_12
11,20232_30002_95347_CONTN6.7.8,INGLES V_CONTN6.7.8(),20232_30002_95347_CONTN6.7.8,20232_30002,INGLES V_CONTN6.7.8(20232),20232/DIVISION IDIOMAS-BASICAS-HUMANIDADES-DEPORTES/DEPARTAMENTO DE IDIOMAS - TUNJA JORNADA DIURNA/NIVEL 5,20232_30002_5,20232_30002,20232_12
12,20232_30002_95345_NEGA3,INGLES III_NEGA3(),20232_30002_95345_NEGA3,20232_30002,INGLES III_NEGA3(20232),20232/DIVISION IDIOMAS-BASICAS-HUMANIDADES-DEPORTES/DEPARTAMENTO DE IDIOMAS - TUNJA JORNADA DIURNA/NIVEL 3,20232_30002_3,20232_30002,20232_12
13,20232_32020_23243_B,PRACTICA CIVIL_B(),20232_32020_23243_B,20232_32020,PRACTICA CIVIL_B(20232),20232/CIENCIAS JURÍDICAS Y POLÍTICAS/DERECHO JORNADA DIURNA/NIVEL 8,20232_32020_8,20232_32020,20232_32
14,20232_32020_20423_B,TEORIA DE LA PRUEBA_B(),20232_32020_20423_B,20232_32020,TEORIA DE LA PRUEBA_B(20232),20232/CIENCIAS JURÍDICAS Y POLÍTICAS/DERECHO JORNADA DIURNA/NIVEL 4,20232_32020_4,20232_32020,20232_32
15,20232_32020_20425_B,ANALITICA IV_B(),20232_32020_20425_B,20232_32020,ANALITICA IV_B(20232),20232/CIENCIAS JURÍDICAS Y POLÍTICAS/DERECHO JORNADA DIURNA/NIVEL 4,20232_32020_4,20232_32020,20232_32
16,20232_32020_20508_A,ANALITICA V_A(),20232_32020_20508_A,20232_32020,ANALITICA V_A(20232),20232/CIENCIAS JURÍDICAS Y POLÍTICAS/DERECHO JORNADA DIURNA/NIVEL 5,20232_32020_5,20232_32020,20232_32
17,20232_32020_20601_A,DERECHO COMERCIAL GENERAL_A(),20232_32020_20601_A,20232_32020,DERECHO COMERCIAL GENERAL_A(20232),20232/CIENCIAS JURÍDICAS Y POLÍTICAS/DERECHO JORNADA DIURNA/NIVEL 6,20232_32020_6,20232_32020,20232_32
18,20232_32020_20701_B,ETICA GENERAL_B(),20232_32020_20701_B,20232_32020,ETICA GENERAL_B(20232),20232/CIENCIAS JURÍDICAS Y POLÍTICAS/DERECHO JORNADA DIURNA/NIVEL 7,20232_32020_7,20232_32020,20232_32
19,20232_32020_20901_D,ANALITICA IX_D(),20232_32020_20901_D,20232_32020,ANALITICA IX_D(20232),20232/CIENCIAS JURÍDICAS Y POLÍTICAS/DERECHO JORNADA DIURNA/NIVEL 9,20232_32020_9,20232_32020,20232_32
20,20232_32020_20807_A,ANALITICA VIII_A(),20232_32020_20807_A,20232_32020,ANALITICA VIII_A(20232),20232/CIENCIAS JURÍDICAS Y POLÍTICAS/DERECHO JORNADA DIURNA/NIVEL 8,20232_32020_8,20232_32020,20232_32
21,20232_32020_20806_A,INVESTIGACION VII (INVESTIGACION ASISTIDA III)_A(),20232_32020_20806_A,20232_32020,INVESTIGACION VII (INVESTIGACION ASISTIDA III)_A(20232),20232/CIENCIAS JURÍDICAS Y POLÍTICAS/DERECHO JORNADA DIURNA/NIVEL 8,20232_32020_8,20232_32020,20232_32
22,20232_32020_37502_C,LAB II: SISTEMA GENERAL DE SALUD_C(),20232_32020_37502_C,20232_32020,LAB II: SISTEMA GENERAL DE SALUD_C(20232),20232/CIENCIAS JURÍDICAS Y POLÍTICAS/DERECHO JORNADA DIURNA/NIVEL 9,20232_32020_9,20232_32020,20232_32
23,20232_32020_20234_C,DERECHO ADMINISTRATIVO COLOMBIANO_C(),20232_32020_20234_C,20232_32020,DERECHO ADMINISTRATIVO COLOMBIANO_C(20232),20232/CIENCIAS JURÍDICAS Y POLÍTICAS/DERECHO JORNADA DIURNA/NIVEL 2,20232_32020_2,20232_32020,20232_32
24,20232_32020_37506_C,LAB VII: DERECHO LABORAL CONSTITUCIONAL_C(),20232_32020_37506_C,20232_32020,LAB VII: DERECHO LABORAL CONSTITUCIONAL_C(20232),20232/CIENCIAS JURÍDICAS Y POLÍTICAS/DERECHO JORNADA DIURNA/NIVEL 10,20232_32020_10,20232_32020,20232_32
25,20232_32020_20507_B,INVESTIGACION IV (ARGUMENTACION Y LOGICA JURIDICA)_B(),20232_32020_20507_B,20232_32020,INVESTIGACION IV (ARGUMENTACION Y LOGICA JURIDICA)_B(20232),20232/CIENCIAS JURÍDICAS Y POLÍTICAS/DERECHO JORNADA DIURNA/NIVEL 5,20232_32020_5,20232_32020,20232_32
26,20232_32020_20801_A,DERECHO LABORAL INDIVIDUAL_A(),20232_32020_20801_A,20232_32020,DERECHO LABORAL INDIVIDUAL_A(20232),20232/CIENCIAS JURÍDICAS Y POLÍTICAS/DERECHO JORNADA DIURNA/NIVEL 7,20232_32020_7,20232_32020,20232_32
27,20232_32020_20807_B,ANALITICA VIII_B(),20232_32020_20807_B,20232_32020,ANALITICA VIII_B(20232),20232/CIENCIAS JURÍDICAS Y POLÍTICAS/DERECHO JORNADA DIURNA/NIVEL 8,20232_32020_8,20232_32020,20232_32
28,20232_32020_20242_B,DERECHO PROCESAL ADMINISTRATIVO_B(),20232_32020_20242_B,20232_32020,DERECHO PROCESAL ADMINISTRATIVO_B(20232),20232/CIENCIAS JURÍDICAS Y POLÍTICAS/DERECHO JORNADA DIURNA/NIVEL 3,20232_32020_3,20232_32020,20232_32
29,20232_32020_21077_D,PNL III: PRUEBAS PENALES Y CRIMINALÍSTICA_D(),20232_32020_21077_D,20232_32020,PNL III: PRUEBAS PENALES Y CRIMINALÍSTICA_D(20232),20232/CIENCIAS JURÍDICAS Y POLÍTICAS/DERECHO JORNADA DIURNA/NIVEL 9,20232_32020_9,20232_32020,20232_32
30,20232_32020_37601_C,LAB X: TEORIA DEL TRABAJO_C(),20232_32020_37601_C,20232_32020,LAB X: TEORIA DEL TRABAJO_C(20232),20232/CIENCIAS JURÍDICAS Y POLÍTICAS/DERECHO JORNADA DIURNA/NIVEL 10,20232_32020_10,20232_32020,20232_32
31,20232_31030_30440_1A,FUNDAMENTOS DEL PROYECTO I_1A(),20232_31030_30440_1A,20232_31030,FUNDAMENTOS DEL PROYECTO I_1A(20232),20232/INGENIERIAS Y ARQUITECTURA - TUNJA/ARQUITECTURA JORNADA DIURNA/NIVEL 1,20232_31030_1,20232_31030,20232_18
32,20232_31030_30471_6C,URBANO IV. LO URBANO COMO HABITAD: LA VIVIENDA Y SUS EXTENSIONES_6C(),20232_31030_30471_6C,20232_31030,URBANO IV. LO URBANO COMO HABITAD: LA VIVIENDA Y SUS EXTENSIONES_6C(20232),20232/INGENIERIAS Y ARQUITECTURA - TUNJA/ARQUITECTURA JORNADA DIURNA/NIVEL 6,20232_31030_6,20232_31030,20232_18
33,20232_31030_30474_7A,CONSTRUCCIÓN V. PROGRAMACIÓN DE OBRA_7A(),20232_31030_30474_7A,20232_31030,CONSTRUCCIÓN V. PROGRAMACIÓN DE OBRA_7A(20232),20232/INGENIERIAS Y ARQUITECTURA - TUNJA/ARQUITECTURA JORNADA DIURNA/NIVEL 7,20232_31030_7,20232_31030,20232_18
34,20232_31030_33217_10C,GESTION DEL PATRIMONIO_10C(),20232_31030_33217_10C,20232_31030,GESTION DEL PATRIMONIO_10C(20232),20232/INGENIERIAS Y ARQUITECTURA - TUNJA/ARQUITECTURA JORNADA DIURNA/NIVEL 10,20232_31030_10,20232_31030,20232_18
35,20232_31030_33701_9A,LATINOAMERICANA Y COLOMBIANA_9A(),20232_31030_33701_9A,20232_31030,LATINOAMERICANA Y COLOMBIANA_9A(20232),20232/INGENIERIAS Y ARQUITECTURA - TUNJA/ARQUITECTURA JORNADA DIURNA/NIVEL 9,20232_31030_9,20232_31030,20232_18
36,20232_31030_30456_4C,CONSTRUCCIÓN II. SISTEMAS Y PROCESOS CONSTRUCTIVOS_4C(),20232_31030_30456_4C,20232_31030,CONSTRUCCIÓN II. SISTEMAS Y PROCESOS CONSTRUCTIVOS_4C(20232),20232/INGENIERIAS Y ARQUITECTURA - TUNJA/ARQUITECTURA JORNADA DIURNA/NIVEL 4,20232_31030_4,20232_31030,20232_18
37,20232_31030_30458_4A,URBANO II. LO URBANO Y EL TERRITORIO COMO ORDEN FISICO-ESPACIAL: SISTEMAS Y ORGANIZACIONES EN EL ESPACIO URBANO_4A(),20232_31030_30458_4A,20232_31030,URBANO II. LO URBANO Y EL TERRITORIO COMO ORDEN FISICO-ESPACIAL: SISTEMAS Y ORGANIZACIONES EN EL ESPACIO URBANO_4A(20232),20232/INGENIERIAS Y ARQUITECTURA - TUNJA/ARQUITECTURA JORNADA DIURNA/NIVEL 4,20232_31030_4,20232_31030,20232_18
38,20232_31030_30470_6B,ESTRIUCTURAS III. PREDIMENSIONAMIENTO ESTRUCTURAL_6B(),20232_31030_30470_6B,20232_31030,ESTRIUCTURAS III. PREDIMENSIONAMIENTO ESTRUCTURAL_6B(20232),20232/INGENIERIAS Y ARQUITECTURA - TUNJA/ARQUITECTURA JORNADA DIURNA/NIVEL 6,20232_31030_6,20232_31030,20232_18
39,20232_31030_30307_3A,PRINCIPIOS DE BIOCLIMATICA_3A(),20232_31030_30307_3A,20232_31030,PRINCIPIOS DE BIOCLIMATICA_3A(20232),20232/INGENIERIAS Y ARQUITECTURA - TUNJA/ARQUITECTURA JORNADA DIURNA/NIVEL 3,20232_31030_3,20232_31030,20232_18
40,20232_31030_30473_7B,PROYECTO V. LO TECTÓNICO Y ESTEREOTÓMICO_7B(),20232_31030_30473_7B,20232_31030,PROYECTO V. LO TECTÓNICO Y ESTEREOTÓMICO_7B(20232),20232/INGENIERIAS Y ARQUITECTURA - TUNJA/ARQUITECTURA JORNADA DIURNA/NIVEL 7,20232_31030_7,20232_31030,20232_18
41,20232_31030_30443_1D,EXPRESIÓN I. REPRESENTACIÓN Y COMUNICACIÓN DE UNA IDEA _1D(),20232_31030_30443_1D,20232_31030,EXPRESIÓN I. REPRESENTACIÓN Y COMUNICACIÓN DE UNA IDEA _1D(20232),20232/INGENIERIAS Y ARQUITECTURA - TUNJA/ARQUITECTURA JORNADA DIURNA/NIVEL 1,20232_31030_1,20232_31030,20232_18
42,20232_31030_30442_1A,TEORIA E HISTORIA I. FUNDAMENTOS DE LA ARQUITECTURA EL ARTE Y EL DISEÑO I_1A(),20232_31030_30442_1A,20232_31030,TEORIA E HISTORIA I. FUNDAMENTOS DE LA ARQUITECTURA EL ARTE Y EL DISEÑO I_1A(20232),20232/INGENIERIAS Y ARQUITECTURA - TUNJA/ARQUITECTURA JORNADA DIURNA/NIVEL 1,20232_31030_1,20232_31030,20232_18
43,20232_31030_30455_4D,PROYECTO II. SISTEMAS Y ORGANIZACIONES ESPACIALES _4D(),20232_31030_30455_4D,20232_31030,PROYECTO II. SISTEMAS Y ORGANIZACIONES ESPACIALES _4D(20232),20232/INGENIERIAS Y ARQUITECTURA - TUNJA/ARQUITECTURA JORNADA DIURNA/NIVEL 4,20232_31030_4,20232_31030,20232_18
44,20232_31030_30482_8B,SEMINARIO DE INVESTIGACIÓN_8B(),20232_31030_30482_8B,20232_31030,SEMINARIO DE INVESTIGACIÓN_8B(20232),20232/INGENIERIAS Y ARQUITECTURA - TUNJA/ARQUITECTURA JORNADA DIURNA/NIVEL 8,20232_31030_8,20232_31030,20232_18
45,20232_31001_10434_GRUPO B,TALUDES_GRUPO B(),20232_31001_10434_GRUPO B,20232_31001,TALUDES_GRUPO B(20232),20232/INGENIERIAS Y ARQUITECTURA - TUNJA/INGENIERIA CIVIL JORNADA DIURNA/NIVEL 9,20232_31001_9,20232_31001,20232_18
46,20232_31001_10141_GRUPO B,TRATAMIENTO DE AGUAS_GRUPO B(),20232_31001_10141_GRUPO B,20232_31001,TRATAMIENTO DE AGUAS_GRUPO B(20232),20232/INGENIERIAS Y ARQUITECTURA - TUNJA/INGENIERIA CIVIL JORNADA DIURNA/NIVEL 8,20232_31001_8,20232_31001,20232_18
47,20232_31001_10121_GRUPO A,GEOLOGIA_GRUPO A(),20232_31001_10121_GRUPO A,20232_31001,GEOLOGIA_GRUPO A(20232),20232/INGENIERIAS Y ARQUITECTURA - TUNJA/INGENIERIA CIVIL JORNADA DIURNA/NIVEL 4,20232_31001_4,20232_31001,20232_18
48,20232_31001_10125_GRUPO B,CONCRETO REFORZADO_GRUPO B(),20232_31001_10125_GRUPO B,20232_31001,CONCRETO REFORZADO_GRUPO B(20232),20232/INGENIERIAS Y ARQUITECTURA - TUNJA/INGENIERIA CIVIL JORNADA DIURNA/NIVEL 6,20232_31001_6,20232_31001,20232_18
49,20232_30003_10240_ARQA1,FILOSOFIA INSTITUCIONAL_ARQA1(),20232_30003_10240_ARQA1,20232_30003,FILOSOFIA INSTITUCIONAL_ARQA1(20232),20232/DIVISION IDIOMAS-BASICAS-HUMANIDADES-DEPORTES/DEPARTAMENTO DE HUMANIDADES - TUNJA JORNADA MIXTA/NIVEL 1,20232_30003_1,20232_30003,20232_12
50,20232_30003_10548_ADMCONN,ANTROPOLOGIA neg in_ADMCONN(),20232_30003_10548_ADMCONN,20232_30003,ANTROPOLOGIA neg in_ADMCONN(20232),20232/DIVISION IDIOMAS-BASICAS-HUMANIDADES-DEPORTES/DEPARTAMENTO DE HUMANIDADES - TUNJA JORNADA MIXTA/NIVEL 3,20232_30003_3,20232_30003,20232_12
51,20232_30003_10271_IND,EPISTEMOLOGIA_IND(),20232_30003_10271_IND,20232_30003,EPISTEMOLOGIA_IND(20232),20232/DIVISION IDIOMAS-BASICAS-HUMANIDADES-DEPORTES/DEPARTAMENTO DE HUMANIDADES - TUNJA JORNADA MIXTA/NIVEL 5,20232_30003_5,20232_30003,20232_12
52,20232_30003_10240_INDA1,FILOSOFIA INSTITUCIONAL_INDA1(),20232_30003_10240_INDA1,20232_30003,FILOSOFIA INSTITUCIONAL_INDA1(20232),20232/DIVISION IDIOMAS-BASICAS-HUMANIDADES-DEPORTES/DEPARTAMENTO DE HUMANIDADES - TUNJA JORNADA MIXTA/NIVEL 1,20232_30003_1,20232_30003,20232_12
53,20232_30003_10240_DISE1,FILOSOFIA INSTITUCIONAL_DISE1(),20232_30003_10240_DISE1,20232_30003,FILOSOFIA INSTITUCIONAL_DISE1(20232),20232/DIVISION IDIOMAS-BASICAS-HUMANIDADES-DEPORTES/DEPARTAMENTO DE HUMANIDADES - TUNJA JORNADA MIXTA/NIVEL 1,20232_30003_1,20232_30003,20232_12
54,20232_30003_99101_CULF1,CATEDRA HENRI DIDON_CULF1(),20232_30003_99101_CULF1,20232_30003,CATEDRA HENRI DIDON_CULF1(20232),20232/DIVISION IDIOMAS-BASICAS-HUMANIDADES-DEPORTES/DEPARTAMENTO DE HUMANIDADES - TUNJA JORNADA MIXTA/NIVEL 1,20232_30003_1,20232_30003,20232_12
55,20232_30003_10271_ADMCONTN3,EPISTEMOLOGIA_ADMCONTN3(),20232_30003_10271_ADMCONTN3,20232_30003,EPISTEMOLOGIA_ADMCONTN3(20232),20232/DIVISION IDIOMAS-BASICAS-HUMANIDADES-DEPORTES/DEPARTAMENTO DE HUMANIDADES - TUNJA JORNADA MIXTA/NIVEL 5,20232_30003_5,20232_30003,20232_12
56,20232_30003_99101_ARQB,CATEDRA HENRI DIDON_ARQB(),20232_30003_99101_ARQB,20232_30003,CATEDRA HENRI DIDON_ARQB(20232),20232/DIVISION IDIOMAS-BASICAS-HUMANIDADES-DEPORTES/DEPARTAMENTO DE HUMANIDADES - TUNJA JORNADA MIXTA/NIVEL 1,20232_30003_1,20232_30003,20232_12
57,20232_30003_98150_ARQA1,COMUNICACION ORAL Y ESCRITA_ARQA1(),20232_30003_98150_ARQA1,20232_30003,COMUNICACION ORAL Y ESCRITA_ARQA1(20232),20232/DIVISION IDIOMAS-BASICAS-HUMANIDADES-DEPORTES/DEPARTAMENTO DE HUMANIDADES - TUNJA JORNADA MIXTA/NIVEL 1,20232_30003_1,20232_30003,20232_12
58,20232_30003_98150_IND1,COMUNICACION ORAL Y ESCRITA_IND1(),20232_30003_98150_IND1,20232_30003,COMUNICACION ORAL Y ESCRITA_IND1(20232),20232/DIVISION IDIOMAS-BASICAS-HUMANIDADES-DEPORTES/DEPARTAMENTO DE HUMANIDADES - TUNJA JORNADA MIXTA/NIVEL 1,20232_30003_1,20232_30003,20232_12
59,20232_30003_99102_SIST1B,CATEDRA HENRI DIDON I_SIST1B(),20232_30003_99102_SIST1B,20232_30003,CATEDRA HENRI DIDON I_SIST1B(20232),20232/DIVISION IDIOMAS-BASICAS-HUMANIDADES-DEPORTES/DEPARTAMENTO DE HUMANIDADES - TUNJA JORNADA MIXTA/NIVEL 1,20232_30003_1,20232_30003,20232_12
60,20232_30003_99101_AMB,CATEDRA HENRI DIDON_AMB(),20232_30003_99101_AMB,20232_30003,CATEDRA HENRI DIDON_AMB(20232),20232/DIVISION IDIOMAS-BASICAS-HUMANIDADES-DEPORTES/DEPARTAMENTO DE HUMANIDADES - TUNJA JORNADA MIXTA/NIVEL 1,20232_30003_1,20232_30003,20232_12
61,20232_30003_62349_ADMCONTN,ETICA_ADMCONTN(),20232_30003_62349_ADMCONTN,20232_30003,ETICA_ADMCONTN(20232),20232/DIVISION IDIOMAS-BASICAS-HUMANIDADES-DEPORTES/DEPARTAMENTO DE HUMANIDADES - TUNJA JORNADA MIXTA/NIVEL 8,20232_30003_8,20232_30003,20232_12
62,20232_30003_62337_ELMESIB,ANTROPOLOGIA_ELMESIB(),20232_30003_62337_ELMESIB,20232_30003,ANTROPOLOGIA_ELMESIB(20232),20232/DIVISION IDIOMAS-BASICAS-HUMANIDADES-DEPORTES/DEPARTAMENTO DE HUMANIDADES - TUNJA JORNADA MIXTA/NIVEL 6,20232_30003_6,20232_30003,20232_12
63,20232_30003_10240_SISTB1,FILOSOFIA INSTITUCIONAL_SISTB1(),20232_30003_10240_SISTB1,20232_30003,FILOSOFIA INSTITUCIONAL_SISTB1(20232),20232/DIVISION IDIOMAS-BASICAS-HUMANIDADES-DEPORTES/DEPARTAMENTO DE HUMANIDADES - TUNJA JORNADA MIXTA/NIVEL 1,20232_30003_1,20232_30003,20232_12
64,20232_30003_10271_ADMD3,EPISTEMOLOGIA_ADMD3(),20232_30003_10271_ADMD3,20232_30003,EPISTEMOLOGIA_ADMD3(20232),20232/DIVISION IDIOMAS-BASICAS-HUMANIDADES-DEPORTES/DEPARTAMENTO DE HUMANIDADES - TUNJA JORNADA MIXTA/NIVEL 5,20232_30003_5,20232_30003,20232_12
65,20232_30003_10263_DISE6,CULTURA TEOLOGICA_DISE6(),20232_30003_10263_DISE6,20232_30003,CULTURA TEOLOGICA_DISE6(20232),20232/DIVISION IDIOMAS-BASICAS-HUMANIDADES-DEPORTES/DEPARTAMENTO DE HUMANIDADES - TUNJA JORNADA MIXTA/NIVEL 4,20232_30003_4,20232_30003,20232_12
66,20232_30003_1081_ADMD2,FRAY LOUIS JOSEPH LEBRET: ECONOMÍA Y HUMANISMO_ADMD2(),20232_30003_1081_ADMD2,20232_30003,FRAY LOUIS JOSEPH LEBRET: ECONOMÍA Y HUMANISMO_ADMD2(20232),20232/DIVISION IDIOMAS-BASICAS-HUMANIDADES-DEPORTES/DEPARTAMENTO DE HUMANIDADES - TUNJA JORNADA MIXTA/NIVEL 2,20232_30003_2,20232_30003,20232_12
67,20232_30003_10122_CIVAMBA,FRAY JOSÉ LUIS GAGO DE VAL: LIDERAZGO Y COMUNICACIÓN_CIVAMBA(),20232_30003_10122_CIVAMBA,20232_30003,FRAY JOSÉ LUIS GAGO DE VAL: LIDERAZGO Y COMUNICACIÓN_CIVAMBA(20232),20232/DIVISION IDIOMAS-BASICAS-HUMANIDADES-DEPORTES/DEPARTAMENTO DE HUMANIDADES - TUNJA JORNADA MIXTA/NIVEL 6,20232_30003_6,20232_30003,20232_12
68,20232_30003_10240_ARQB1,FILOSOFIA INSTITUCIONAL_ARQB1(),20232_30003_10240_ARQB1,20232_30003,FILOSOFIA INSTITUCIONAL_ARQB1(20232),20232/DIVISION IDIOMAS-BASICAS-HUMANIDADES-DEPORTES/DEPARTAMENTO DE HUMANIDADES - TUNJA JORNADA MIXTA/NIVEL 1,20232_30003_1,20232_30003,20232_12
69,20232_30003_10548_NEGB2,ANTROPOLOGIA neg in_NEGB2(),20232_30003_10548_NEGB2,20232_30003,ANTROPOLOGIA neg in_NEGB2(20232),20232/DIVISION IDIOMAS-BASICAS-HUMANIDADES-DEPORTES/DEPARTAMENTO DE HUMANIDADES - TUNJA JORNADA MIXTA/NIVEL 3,20232_30003_3,20232_30003,20232_12
70,20232_30003_99101_ADMCONN,CATEDRA HENRI DIDON_ADMCONN(),20232_30003_99101_ADMCONN,20232_30003,CATEDRA HENRI DIDON_ADMCONN(20232),20232/DIVISION IDIOMAS-BASICAS-HUMANIDADES-DEPORTES/DEPARTAMENTO DE HUMANIDADES - TUNJA JORNADA MIXTA/NIVEL 1,20232_30003_1,20232_30003,20232_12
71,20232_30003_99101_DISE,CATEDRA HENRI DIDON_DISE(),20232_30003_99101_DISE,20232_30003,CATEDRA HENRI DIDON_DISE(20232),20232/DIVISION IDIOMAS-BASICAS-HUMANIDADES-DEPORTES/DEPARTAMENTO DE HUMANIDADES - TUNJA JORNADA MIXTA/NIVEL 1,20232_30003_1,20232_30003,20232_12
72,20232_30003_20233_DERC,FRAY LUIS DE GRANADA: GRAMÁTICA Y RETÓRICA_DERC(),20232_30003_20233_DERC,20232_30003,FRAY LUIS DE GRANADA: GRAMÁTICA Y RETÓRICA_DERC(20232),20232/DIVISION IDIOMAS-BASICAS-HUMANIDADES-DEPORTES/DEPARTAMENTO DE HUMANIDADES - TUNJA JORNADA MIXTA/NIVEL 2,20232_30003_2,20232_30003,20232_12
73,20232_30003_95113_ARQB9,ETICA_ARQB9(),20232_30003_95113_ARQB9,20232_30003,ETICA_ARQB9(20232),20232/DIVISION IDIOMAS-BASICAS-HUMANIDADES-DEPORTES/DEPARTAMENTO DE HUMANIDADES - TUNJA JORNADA MIXTA/NIVEL 10,20232_30003_10,20232_30003,20232_12
74,20232_32040_10282_DIA,GERENCIA DEL TALENTO HUMANO_DIA(),20232_32040_10282_DIA,20232_32040,GERENCIA DEL TALENTO HUMANO_DIA(20232),20232/CIENCIAS CONTABLES Y ADMINISTRATIVAS - TUNJA/ADMINISTRACION DE EMPRESAS JORNADA MIXTA/NIVEL 7,20232_32040_7,20232_32040,20232_17
75,20232_32040_10382_PENSAM DIA,PENSAMIENTO ADMINISTRATIVO_PENSAM DIA(),20232_32040_10382_PENSAM DIA,20232_32040,PENSAMIENTO ADMINISTRATIVO_PENSAM DIA(20232),20232/CIENCIAS CONTABLES Y ADMINISTRATIVAS - TUNJA/ADMINISTRACION DE EMPRESAS JORNADA MIXTA/NIVEL 1,20232_32040_1,20232_32040,20232_17
76,20232_32040_10399_DIA A,CREACIÓN DE EMPRESAS_DIA A(),20232_32040_10399_DIA A,20232_32040,CREACIÓN DE EMPRESAS_DIA A(20232),20232/CIENCIAS CONTABLES Y ADMINISTRATIVAS - TUNJA/ADMINISTRACION DE EMPRESAS JORNADA MIXTA/NIVEL 6,20232_32040_6,20232_32040,20232_17
77,20232_32040_10219_NOCHE,HERRAMIENTAS DIGITALES_NOCHE(),20232_32040_10219_NOCHE,20232_32040,HERRAMIENTAS DIGITALES_NOCHE(20232),20232/CIENCIAS CONTABLES Y ADMINISTRATIVAS - TUNJA/ADMINISTRACION DE EMPRESAS JORNADA MIXTA/NIVEL 7,20232_32040_7,20232_32040,20232_17
78,20232_32040_10306_NOCHE,MARKETING DIGITAL_NOCHE(),20232_32040_10306_NOCHE,20232_32040,MARKETING DIGITAL_NOCHE(20232),20232/CIENCIAS CONTABLES Y ADMINISTRATIVAS - TUNJA/ADMINISTRACION DE EMPRESAS JORNADA MIXTA/NIVEL 7,20232_32040_7,20232_32040,20232_17
